Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
42,Scrypt,PoW/PoS,41.99995383,42.0,-0.33322908471866164,1.0310253522876958,-0.5276760621396575,0,42 Coin
404,Scrypt,PoW/PoS,1055184902.04,532000000.0,-0.3165579695388889,1.0310437024102963,-0.5277819393473107,0,404Coin
1337,X13,PoW/PoS,29279424622.5027,314159265359.0,2.308625565641564,1.572923566537021,-0.5357981620964876,0,EliteCoin
BTC,SHA-256,PoW,17927175.0,21000000.0,-0.14608689345092063,-1.3249530659625617,0.14944739162324347,3,Bitcoin
ETH,Ethash,PoW,107684222.6865,0.0,-0.15879259435923293,-2.0064768167732616,0.318277710740121,3,Ethereum
LTC,Scrypt,PoW,63039243.3000049,84000000.0,-0.1650155044871034,-1.1036601071968208,-0.0231530399106657,3,Litecoin
DASH,X11,PoW/PoS,9031294.37563393,22000000.0,-0.39664332045336287,1.220601617144647,-0.4002963764910137,0,Dash
XMR,CryptoNight-V7,PoW,17201143.1449131,0.0,-0.15331627205293763,-2.252437222634809,0.4861611767197707,3,Monero
ETC,Ethash,PoW,113359703.0,210000000.0,-0.15723346976634112,-2.006593661994543,0.31828530708301245,3,Ethereum Classic
ZEC,Equihash,PoW,7383056.25,21000000.0,-0.14442817203371272,-1.9805855924453366,0.31082846577536777,3,ZCash
BTS,SHA-512,PoS,2741570000.0,3600570502.0,-0.2548757782388042,1.501936954231251,-0.0073705973470537456,0,Bitshares
DGB,Multiple,PoW,11406219141.0,21000000000.0,0.16405491716572812,-1.8092429689177287,0.35167294385252057,3,DigiByte
BTCD,SHA-256,PoW/PoS,1288862.0,22000000.0,-0.3131303396707559,0.8096984198125403,-0.3550778578480201,0,BitcoinDark
XPY,SHA-256,PoS,11995334.8847328,12500000.0,-0.2679950957508001,0.6114695289686108,-0.09106645542241944,0,PayCoin
PRC,Scrypt,PoW,5768310.0,21000000.0,-0.16616242901196498,-1.103641837084286,-0.023148638636194444,3,ProsperCoin
KOBO,X15,PoW/PoS,25542535.5881841,350000000.0,-0.24778710239522853,1.8754458026652967,-0.6407367849179889,0,KoboCoin
SPR,X11,PoW,11149733.9976203,20000000.0,-0.22978443843563645,-0.9140536895419451,0.10423057907407537,3,Spreadcoin
ARG,Scrypt,PoW,12205795.4449549,64000000.0,-0.16577870120849306,-1.1036641692008662,-0.023147717375717563,3,Argentum
AUR,Scrypt,PoW/PoS,18135099.992959,16768584.0,-0.332888470467439,1.031021362680544,-0.5276775812074105,0,Aurora Coin
BLU,Scrypt,PoW/PoS,635423900.0,0.0,-0.32546257423476393,1.031217271248421,-0.5277524500257591,0,BlueCoin
XMY,Multiple,PoW,1688254250.0,2000000000.0,-0.0895109776850494,-1.8014513112851216,0.35209217680524135,3,MyriadCoin
MOON,Scrypt,PoW,88.0,384000000000.0,2.5577427166169215,-1.3204260607909633,-0.008010717064005371,3,MoonCoin
ZET,SHA-256,PoW,170204389.754849,169795588.0,-0.1431701079734501,-1.3249910785423429,0.1494349513435035,3,ZetaCoin
SXC,Scrypt,PoW,128940951.183046,250000000.0,-0.1630324000625211,-1.1037339210955919,-0.02315441827105651,3,SexCoin
QTL,Scrypt,PoW,7357794.7925,100000000.0,-0.16558256953860798,-1.1036859579259006,-0.023145715377476058,3,Quatloo
